"dim_operators";"dim_operations_date";"dim_run";"dim_route";"dim_service";"dim_direction";"dim_boardingstop";"dim_alightingstop";"measure_triplength";"measure_passengers";"measure_dailypassengersbyroute"
"Brisbane Transport";"03-JAN-13";"2360";"P384";"7394";"Outbound";"Leichhardt St - The Ridge (Stop 164) ";"West Ashgrove"" Waterworks Road ";"9.1";"1";"205"
"Surfside Buslines";"04-JAN-13";"715";"715";"2228";"Inbound";"Town Centre Drive ";"Labrador Park Shopping Centre ";"12.8667";"1";"1354"
"Surfside Buslines";"04-JAN-13";"703";"703";"1239";"Inbound";"Turpin Road ";"Harbourtown Stop B ";"5.56667";"2";"1175"
"Brisbane Transport";"09-JAN-13";"3305";"P217";"7177";"Outbound";"Adelaide St app Nth Quay (Stop 48) ";"Stones Corner Station Platform 2 ";"10.5167";"1";"530"
"Brisbane Transport";"01-JAN-13";"9005";"412";"7069";"Outbound";"Toowong"" Benson Street ";"St Lucia Ferry"" Sir Fred Schonell Drive ";"3.23333";"1";"1302"
"BCC Ferries";"17-JAN-13";"1";"1";"1565";"Inbound";"South Bank 1 Ferry Terminal ";"Guyatt Park Ferry Terminal ";"15.3833";"1";"5034"
"Brisbane Transport";"02-JAN-13";"2360";"P384";"7394";"Outbound";"Leichhardt St - The Ridge (Stop 164) ";"West Ashgrove"" Waterworks Road ";"8.96667";"1";"200"
"Brisbane Transport";"21-JAN-13";"5308";"100";"7990";"Outbound";"Queen Street Bus Station - Platform A1 ";"Blunder - Freeman - 68 ";"32.4167";"1";"3464"
"Brisbane Transport";"15-JAN-13";"8010";"460";"6844";"Inbound";"Forest Lake Village"" ";"Mt Ommaney Shopping Centre"" ";"21.6167";"2";"1090"
"Brisbane Transport";"18-JAN-13";"5307";"460";"6840";"Outbound";"Toowong"" High Street ";"Forest Lake E"" Forest Lake Boulevard ";"33.9833";"2";"1154"
"Brisbane Transport";"07-JAN-13";"5311";"100";"7991";"Inbound";"Blunder - Freeman - 68 ";"Queen St Bus Station Southside Arrival Stop ";"32.7667";"1";"3196"
"Brisbane Transport";"15-JAN-13";"8308";"117";"8036";"Outbound";"Adelaide St opp City Hall (Stop 45) ";"Chardons Corner"" - 25 ";"27.65";"1";"700"
"Brisbane Transport";"17-JAN-13";"9348";"121";"7597";"Inbound";"Buranda busway station ";"Elizabeth St F/S George St (Stop 81) ";"7.75";"1";"210"
"Brisbane Transport";"18-JAN-13";"2310";"412";"7069";"Outbound";"University of Queensland - Zone E ";"Toowong"" Benson Street ";"10.4833";"2";"4491"
"Brisbane Transport";"17-JAN-13";"9329";"116";"8147";"Inbound";"Hamlet Street - 26 ";"Adelaide St adj City Hall (Stop 19) ";"27.5833";"1";"553"
"Brisbane Transport";"07-JAN-13";"5309";"100";"7990";"Outbound";"Queen Street Bus Station - Platform A1 ";"Blunder - Freeman - 68 ";"37.6167";"1";"3196"
"Brisbane Transport";"09-JAN-13";"3371";"P207";"7470";"Inbound";"Stones Corner Station Platform 1 ";"Elizabeth St F/S George St (Stop 81) ";"10.8";"1";"320"
"Surfside Buslines";"05-JAN-13";"761";"761";"5794";"Inbound";"Christine Av App Goldwater Dr ";"Christine Av App Goldwater Dr ";"0";"1";"517"
"Brisbane Transport";"02-JAN-13";"6326";"333";"7557";"Inbound";"Chermside Shopping Centre - Platform A ";"King George Square Station 2A ";"27.6333";"1";"3002"
"Surfside Buslines";"12-JAN-13";"765";"765";"5803";"Inbound";"Burleigh Heads ";"Robina Town Centre ";"26.3833";"2";"686"
"Brisbane Transport";"16-JAN-13";"2364";"412";"6769";"Inbound";"St Lucia Ferry"" Sir Fred Schonell Drive ";"Toowong"" Benson Street ";"4.08333";"1";"4247"
"Surfside Buslines";"02-JAN-13";"715";"715";"2228";"Inbound";"Helensvale Train Station Stop B ";"Labrador Park Shopping Centre ";"13.2833";"1";"1309"
"Surfside Buslines";"19-JAN-13";"765";"765";"5807";"Outbound";"Robina Town Centre ";"Bermuda Street ";"14.6333";"2";"737"
"Surfside Buslines";"02-JAN-13";"715";"715";"2229";"Outbound";"Labrador Park Shopping Centre ";"Helensvale Train Station Stop B ";"11.05";"1";"1309"
"Brisbane Transport";"11-JAN-13";"9205";"174";"8005";"Outbound";"Adelaide St opp City Plaza (Stop 46) ";"Swain St - 27 ";"21.2833";"1";"1728"
"Brisbane Transport";"14-JAN-13";"3338";"P217";"7176";"Inbound";"Stones Corner Station Platform 1 ";"Elizabeth St F/S George St (Stop 81) ";"9.2";"1";"640"
"Brisbane Transport";"21-JAN-13";"6027";"333";"7557";"Inbound";"Chermside Shopping Centre - Platform A ";"RCH-Herston"" Station (IB) - Platform 1 ";"18.2167";"1";"4073"
"Brisbane Transport";"16-JAN-13";"2320";"412";"7069";"Outbound";"Adelaide St app George St (Stop 16) ";"Adelaide St app George St (Stop 16) ";"8.01667";"1";"4247"
"Surfside Buslines";"03-JAN-13";"715";"715";"2229";"Outbound";"Harbourtown Stop B ";"Helensvale Train Station Stop B ";"8.96667";"2";"1305"
"Brisbane Transport";"15-JAN-13";"2409";"433";"6710";"Outbound";"Adelaide St Creek St (rear) (Stop 34) ";"Alkira"" Moggill Road ";"35.6667";"1";"612"
"Surfside Buslines";"06-JAN-13";"700";"700";"1232";"Inbound";"Coolangatta Central ";"St Monica''s Catholic Church ";"13.6667";"1";"2083"
"Brisbane Transport";"16-JAN-13";"6335";"340";"7845";"Outbound";"King George Square Station 1D ";"Chermside Shopping Centre - Platform E ";"29.9333";"1";"3467"
"Brisbane Transport";"17-JAN-13";"2374";"333";"7559";"Outbound";"King George Square Station 1D ";"Lutwyche Station Platform 2 ";"20.7167";"2";"4486"
"Surfside Buslines";"10-JAN-13";"767";"767";"4786";"Outbound";"Toolona St F/S Durran St ";"The Pines - Stop B ";"11.3";"1";"64"
"Brisbane Transport";"17-JAN-13";"3109";"P205";"7175";"Outbound";"Queen St app Wharf St ";"Kilmorey"" Scrub Road ";"43.9833";"1";"568"
"Brisbane Transport";"21-JAN-13";"3109";"P205";"7175";"Outbound";"Queen St app Wharf St ";"Kilmorey"" Scrub Road ";"37.3667";"1";"591"
"Surfside Buslines";"20-JAN-13";"761";"761";"5795";"Outbound";"The Pines - Stop A ";"St Monicas Catholic Church ";"8.13333";"1";"535"
"Surfside Buslines";"08-JAN-13";"767";"767";"4785";"Inbound";"The Pines - Stop B ";"Tugun Beach Shops ";"14.05";"1";"57"
"Surfside Buslines";"08-JAN-13";"761";"761";"5794";"Inbound";"St Monica''s Catholic Church ";"The Pines - Stop A ";"11.0333";"1";"630"
"Brisbane Transport";"17-JAN-13";"4354";"140";"8020";"Outbound";"Queen Street Bus Station - Platform A5 ";"Illaweena Street"" Beaudesert Road ";"50.65";"1";"3953"
"Surfside Buslines";"19-JAN-13";"761";"761";"5794";"Inbound";"Christine Av App Scottsdale Dr ";"Coolangatta Central ";"40.8333";"2";"690"
"Brisbane Transport";"18-JAN-13";"6338";"330";"7551";"Outbound";"RCH-Herston"" Station (OB) Platform 2 ";"Chermside Shopping Centre - Platform E ";"20.1333";"1";"3964"
"Surfside Buslines";"08-JAN-13";"761";"761";"5794";"Inbound";"St Monica''s Catholic Church ";"The Pines - Stop A ";"7.41667";"2";"630"
"Surfside Buslines";"13-JAN-13";"760";"760";"1252";"Inbound";"Coolangatta Central ";"St Monica''s Catholic Church ";"12.75";"1";"570"
"Brisbane Transport";"04-JAN-13";"1638";"60";"6183";"Inbound";"Wickham St @ Warner St (St 229) ";"Teneriffe Ferry - 16 ";"6.16667";"2";"5000"
"Brisbane Transport";"04-JAN-13";"2111";"199";"6888";"Outbound";"Merthyr Central - 11 ";"Brunswick St @ Ann St (Stop 210) ";"5.71667";"2";"6320"
"Surfside Buslines";"13-JAN-13";"20";"20A";"1356";"Inbound";"go Card Pac Fair Stops C and D ";"go Card Pac Fair Stops C and D ";"10.7167";"1";"189"
"Surfside Buslines";"17-JAN-13";"761";"761";"5795";"Outbound";"Robina Town Centre ";"Tugun Beach Shops ";"30.5833";"2";"665"
"Surfside Buslines";"14-JAN-13";"761";"761";"5794";"Inbound";"St Monica''s Catholic Church ";"Robina Town Centre ";"28.6833";"1";"626"
"Surfside Buslines";"17-JAN-13";"761";"761";"5794";"Inbound";"St Monica''s Catholic Church ";"Robina Town Centre ";"26.3333";"1";"665"
"Surfside Buslines";"14-JAN-13";"767";"767";"4785";"Inbound";"The Pines - Stop B ";"St Monicas Catholic Church ";"11.5";"3";"62"
"Brisbane Transport";"20-JAN-13";"8209";"460";"6841";"Outbound";"Mt Ommaney Shopping Centre"" ";"Inala Bus Station - Platform 'A' ";"26.5";"1";"440"
"Brisbane Transport";"06-JAN-13";"6208";"345";"5631";"Inbound";"Aspley Hypermarket 'B' ";"Cultural Centre Terminating  Services) ";"34.3667";"1";"1982"
"Brisbane Transport";"20-JAN-13";"1614";"60";"6885";"Outbound";"City Hall (Adelaide St opp City Hall Stop 43) ";"Cordeaux Street - 14 ";"11.2333";"1";"2372"
"Veolia Transport Brisbane";"21-JAN-13";"264";"264";"1812";"Outbound";"Capalaba Bus Station stop C ";"Wentworth Dr Opp App Cunningham St ";"13.7833";"1";"84"
"Surfside Buslines";"14-JAN-13";"703";"703";"2221";"Outbound";"Gold Coast TAFE ";"Santa Monica Road ";"35.3667";"1";"1291"
"BCC Ferries";"17-JAN-13";"2";"2";"395";"Outbound";"South Bank 2 Ferry Terminal ";"New Farm Ferry Terminal ";"25.8667";"1";"4558"
"Hornibrook Bus Lines";"21-JAN-13";"103";"103";"17831";"Inbound";"Kev Hooper Park - 76 ";"Mt Ommaney Shopping Centre ";"25.8";"1";"241"
"BCC Ferries";"02-JAN-13";"1";"1";"1565";"Inbound";"Hawthorne Ferry Terminal ";"Riverside Ferry Terminal ";"18.0167";"1";"3343"
"Brisbane Transport";"22-JAN-13";"1624";"60";"6183";"Inbound";"Cordeaux Street - 30/14 ";"Adelaide St @ City Hall frnt (Stop 20) ";"13.9833";"1";"6275"
"Brisbane Transport";"16-JAN-13";"1023";"375";"8118";"Outbound";"Adelaide St fs Albert St (Stop 42) ";"Bardon - Carwoola St - 22 ";"22.65";"1";"3591"
"BCC Ferries";"18-JAN-13";"1";"1";"1565";"Inbound";"New Farm Ferry Terminal ";"South Bank 1 Ferry Terminal ";"27.2667";"1";"5803"
"Brisbane Transport";"10-JAN-13";"2015";"375";"8118";"Outbound";"Adelaide St fs Albert St (Stop 42) ";"Bardon - Carwoola St - 22 ";"18.25";"1";"3399"
"Brisbane Transport";"13-JAN-13";"2025";"199";"6888";"Outbound";"Merthyr Central - 11 ";"Adelaide St op Anzac Sq (r) (Stop 36) ";"9.28333";"1";"3470"
"Brisbane Transport";"14-JAN-13";"1606";"60";"6183";"Inbound";"Cordeaux Street - 30/14 ";"Adelaide St @ City Hall frnt (Stop 20) ";"13.7";"1";"6565"
"Brisbane Transport";"16-JAN-13";"2342";"375";"7572";"Inbound";"Bardon - Carwoola St - 22 ";"Adelaide St opp DJ's (Stop 23) ";"30.2167";"1";"3591"
